"ID","LON","LAT","Elevation_m","Date","ppt_mm","tmean_degC","pltID"
1,-122.7456,41.1025,1055,"Annual",1648.31,12.1,"2_6_105_51297"
2,-122.4584,41.1287,1792,"Annual",1935.98,8.1,"2_6_105_63593"
3,-122.9348,41.1281,1589,"Annual",1585.16,9,"2_6_105_92775"
4,-122.6058,41.1446,1481,"Annual",1376.78,10,"2_6_105_96869"
5,-120.8023,40.9341,1765,"Annual",388.23,7.2,"2_6_35_56575"
6,-120.7545,40.4273,1525,"Annual",498.93,8.3,"2_6_35_58697"
7,-120.8016,40.5887,1560,"Annual",447.7,7.6,"2_6_35_71400"
8,-121.1061,40.5712,1914,"Annual",574.51,6.3,"2_6_35_78825"
9,-121.0631,40.9373,1628,"Annual",502.66,8.7,"2_6_35_80121"
10,-120.6207,40.4892,1803,"Annual",481.75,8.1,"2_6_35_86030"
11,-121.0548,40.2573,1885,"Annual",1162.81,7.5,"2_6_35_92980"
12,-120.9108,40.3156,1652,"Annual",974.21,7.9,"2_6_35_98013"
13,-121.0423,41.287,1617,"Annual",516.26,8.7,"2_6_49_73812"
14,-121.3616,41.2614,1507,"Annual",572.69,9.3,"2_6_49_74246"
15,-121.0493,41.4258,1441,"Annual",483.16,9,"2_6_49_76419"
16,-121.2732,41.1893,1411,"Annual",560.52,9.8,"2_6_49_79515"
17,-121.3704,41.4338,1355,"Annual",576.81,9.2,"2_6_49_94164"
18,-121.9273,40.8948,841,"Annual",1576.71,13.7,"2_6_89_75406"
19,-121.5963,40.5974,1769,"Annual",1100.74,7.9,"2_6_89_81219"
20,-121.971,41.0458,749,"Annual",1954.52,12.8,"2_6_89_83191"
21,-121.7163,40.5235,1272,"Annual",1198.43,11.4,"2_6_89_83866"
22,-122.1447,41.1586,974,"Annual",1530.59,11.4,"2_6_89_87520"
23,-121.8232,41.3448,1517,"Annual",1169.39,8.5,"2_6_93_59756"
24,-121.5406,40.2531,1596,"Annual",1453.84,9.8,"3_6_103_65991"
25,-120.1216,38.7472,2298,"Annual",1599.85,6.3,"3_6_17_67622"
26,-120.3038,38.9985,2016,"Annual",1667.92,7.5,"3_6_17_80501"
27,-120.4525,38.8751,1526,"Annual",1489.16,11,"3_6_17_91277"
28,-120.2981,38.852,1904,"Annual",1798.24,8.7,"3_6_17_91643"
29,-120.7597,39.1656,1110,"Annual",1460.53,13.2,"3_6_61_53993"
30,-120.4628,39.0402,1596,"Annual",1549.06,10.2,"3_6_61_59106"
31,-120.5962,39.1514,1620,"Annual",1734.8,10.5,"3_6_61_84677"
32,-120.6039,38.998,1340,"Annual",1516.58,12.3,"3_6_61_86237"
33,-121.208,40.1092,1466,"Annual",1016.11,10.3,"3_6_63_50218"
34,-120.7085,39.7893,1584,"Annual",1405.99,8.8,"3_6_63_54163"
35,-121.0215,39.7717,1286,"Annual",1863.63,11.1,"3_6_63_66545"
36,-121.0228,40.0955,1598,"Annual",1063.42,9.4,"3_6_63_66988"
37,-120.5263,39.8466,1770,"Annual",621.22,7.8,"3_6_63_73981"
38,-121.0119,39.9491,1259,"Annual",1079.14,11,"3_6_63_79087"
39,-120.8499,39.8473,1507,"Annual",1452.54,9.5,"3_6_63_98023"
40,-121.3218,39.7626,896,"Annual",1801.66,14.2,"3_6_7_89092"
41,-120.5201,39.6956,1634,"Annual",733.5,8.3,"3_6_91_70607"
42,-120.908,39.5054,1380,"Annual",1584.06,11.9,"3_6_91_85651"
43,-118.382,35.893,2545,"Annual",847.81,6.9,"5_6_107_52187"
44,-118.3985,36.0613,2451,"Annual",982.62,7.1,"5_6_107_53345"
45,-118.7171,36.2057,1512,"Annual",818.89,12.3,"5_6_107_55147"
46,-118.596,36.163,2274,"Annual",1109.59,7.8,"5_6_107_68934"
47,-118.7176,36.3528,2221,"Annual",1042.53,8.4,"5_6_107_70996"
48,-118.9061,36.6543,1731,"Annual",924.2,10.3,"5_6_107_75302"
49,-118.2907,36.019,2410,"Annual",680.66,6.8,"5_6_107_91832"
50,-118.4144,36.2075,2067,"Annual",1028.02,8.9,"5_6_107_95459"
51,-119.7419,37.9088,2015,"Annual",1285.24,9.5,"5_6_109_82997"
52,-120.03,37.9296,1213,"Annual",1042.68,13.4,"5_6_109_95908"
53,-118.9148,36.9914,2701,"Annual",1277.29,5.5,"5_6_19_50651"
54,-119.2558,37.6045,2687,"Annual",937.92,5.5,"5_6_39_64363"
55,-119.3984,37.3057,1957,"Annual",1188.87,10.1,"5_6_39_84285"
56,-119.7983,38.4265,2194,"Annual",1567.32,6.4,"5_6_3_67431"
57,-119.967,38.5516,2204,"Annual",1581.69,6.3,"5_6_3_98052"
58,-119.8608,37.5585,1124,"Annual",1015.9,14.2,"5_6_43_66480"
59,-120.239,38.5289,1820,"Annual",1960.53,10.1,"5_6_5_55365"
60,-120.2515,38.3643,1684,"Annual",1384.44,10.6,"5_6_9_76472"
61,-122.8884,41.1644,1727,"Annual",1570.06,8,"2_6_105_73516"
62,-122.7437,41.0516,1315,"Annual",1745.36,11.3,"2_6_105_92264"
63,-122.8614,40.9904,1910,"Annual",2487.59,7.4,"2_6_105_92899"
64,-121.3499,41.3011,1356,"Annual",557,9.6,"2_6_49_75095"
65,-121.1613,41.3539,1360,"Annual",486.56,9.2,"2_6_49_80178"
66,-121.3953,40.6943,1544,"Annual",679.72,8.9,"2_6_89_55136"
67,-121.3907,40.4985,2087,"Annual",1703.04,6.4,"2_6_89_69149"
68,-121.9043,41.0939,802,"Annual",1674.41,12.6,"2_6_89_84932"
69,-121.7193,40.6629,1652,"Annual",1305.55,9,"2_6_89_91772"
70,-121.6389,41.4367,1351,"Annual",810.4,9.5,"2_6_93_86196"
71,-122.4243,41.2397,1548,"Annual",1850.74,9.1,"2_6_93_94605"
72,-121.4635,41.3265,1349,"Annual",676.01,9.7,"2_6_93_97968"
73,-121.8033,41.305,1359,"Annual",1022.88,9.5,"2_6_93_99432"
74,-121.6816,40.0497,1072,"Annual",1482.8,13.3,"3_6_103_58576"
75,-121.466,40.1586,1805,"Annual",1743.96,8.6,"3_6_103_66280"
76,-121.5012,40.3176,1574,"Annual",1413.08,8.8,"3_6_103_95249"
77,-120.5644,38.6123,943,"Annual",1156.09,14.3,"3_6_17_54258"
78,-120.3716,38.6054,1691,"Annual",1572.37,10.2,"3_6_17_60444"
79,-120.4288,38.758,1345,"Annual",1392.66,12.1,"3_6_17_97297"
80,-120.6045,39.4293,2029,"Annual",1996.93,7.5,"3_6_57_64922"
81,-120.9357,39.3951,1081,"Annual",1576.3,13.1,"3_6_57_99642"
82,-120.564,38.9498,1300,"Annual",1447.54,12.7,"3_6_61_58134"
83,-120.7396,39.0464,1043,"Annual",1423.63,14.1,"3_6_61_69600"
84,-121.0152,40.0507,1099,"Annual",929.06,11.1,"3_6_63_58788"
85,-120.3792,39.9361,1853,"Annual",612.9,7.2,"3_6_63_68620"
86,-121.3357,40.198,1796,"Annual",1331.09,8,"3_6_63_73947"
87,-121.1466,40.0047,1224,"Annual",1082.58,11.3,"3_6_63_79234"
88,-120.7003,40.0871,1707,"Annual",753.69,8.8,"3_6_63_92614"
89,-120.5683,40.1927,1780,"Annual",629.06,8.3,"3_6_63_93409"
90,-120.6166,39.6325,1865,"Annual",1838.88,8.3,"3_6_91_62246"
91,-118.7206,36.5575,1499,"Annual",829.17,12.7,"5_6_107_57896"
92,-118.5329,36.1537,2355,"Annual",1202.37,7.1,"5_6_107_60974"
93,-118.5299,36.3061,2268,"Annual",1095.93,7.1,"5_6_107_64398"
94,-118.2193,35.8109,1635,"Annual",384.47,13.1,"5_6_107_68190"
95,-118.6795,36.2503,1994,"Annual",1107.8,9.2,"5_6_107_85606"
96,-118.7032,36.4055,1836,"Annual",928.79,10.4,"5_6_107_86537"
97,-118.3961,35.9186,2268,"Annual",825.53,8.2,"5_6_107_90023"
98,-120.024,37.974,1212,"Annual",1066.54,13,"5_6_109_53951"
99,-120.1564,37.8141,900,"Annual",960.03,13.7,"5_6_109_54060"
100,-119.8798,38.348,2207,"Annual",1594.67,7.2,"5_6_109_62518"
101,-120.205,38.3098,1564,"Annual",1317.05,11.1,"5_6_109_85336"
102,-119.9899,37.8096,1214,"Annual",988.55,13.5,"5_6_109_89546"
103,-119.8729,37.8564,1264,"Annual",906.83,12.6,"5_6_109_98713"
