point_name,month_year,TBOT_avg,PRECTmms_total_mm
2_6_105_51297,1951-01,271.9107,358.18066
2_6_105_51297,1951-02,272.6564,213.48355
2_6_105_51297,1951-03,274.523,65.06049
2_6_105_51297,1951-04,281.72113,54.694458
2_6_105_51297,1951-05,284.21075,139.79135
2_6_105_51297,1951-06,291.63312,0.59005356
2_6_105_51297,1951-07,293.401,0.01184082
2_6_105_51297,1951-08,292.34512,9.693489
2_6_105_51297,1951-09,290.47983,63.146168
2_6_105_51297,1951-10,281.3595,104.900665
2_6_105_51297,1951-11,276.23477,414.15167
2_6_105_51297,1951-12,271.8341,499.19946
2_6_105_51297,1952-01,270.0784,567.39014
2_6_105_51297,1952-02,272.97095,172.91415
2_6_105_51297,1952-03,273.02036,249.01733
2_6_105_51297,1952-04,279.86942,73.46939
2_6_105_51297,1952-05,283.15683,23.903648
2_6_105_51297,1952-06,285.74234,36.74128
2_6_105_51297,1952-07,294.9212,9.219189
2_6_105_51297,1952-08,292.28708,1.0831985
2_6_105_51297,1952-09,289.4195,29.889273
2_6_105_51297,1952-10,287.49823,4.996025
2_6_105_51297,1952-11,276.49945,101.888176
2_6_105_51297,1952-12,272.53534,869.8685
2_6_105_51297,1953-01,275.21252,610.61774
2_6_105_51297,1953-02,274.7267,42.857994
2_6_105_51297,1953-03,274.35205,166.25296
2_6_105_51297,1953-04,277.5569,145.84682
2_6_105_51297,1953-05,278.63962,136.73154
2_6_105_51297,1953-06,284.53995,65.28711
2_6_105_51297,1953-07,294.33636,0.9531021
2_6_105_51297,1953-08,289.80692,12.08873
2_6_105_51297,1953-09,290.91492,8.632289
2_6_105_51297,1953-10,282.8557,75.21435
2_6_105_51297,1953-11,277.0003,385.03073
2_6_105_51297,1953-12,275.47983,136.68445
2_6_105_51297,1954-01,271.7332,684.42377
2_6_105_51297,1954-02,277.5006,327.49457
2_6_105_51297,1954-03,273.96744,250.04697
2_6_105_51297,1954-04,280.33453,220.46402
2_6_105_51297,1954-05,285.48663,15.5443
2_6_105_51297,1954-06,286.40024,71.29786
2_6_105_51297,1954-07,292.68167,6.4473
2_6_105_51297,1954-08,289.21317,18.63039
2_6_105_51297,1954-09,286.80826,0.7976713
2_6_105_51297,1954-10,282.0959,39.027863
2_6_105_51297,1954-11,279.26678,292.50696
2_6_105_51297,1954-12,272.6282,319.95316
2_6_105_51297,1955-01,271.68146,185.25078
2_6_105_51297,1955-02,272.52274,44.51097
2_6_105_51297,1955-03,274.22354,37.31064
2_6_105_51297,1955-04,274.54428,147.42131
2_6_105_51297,1955-05,283.51138,1.1312943
2_6_105_51297,1955-06,288.67093,9.419043
2_6_105_51297,1955-07,290.5956,4.4688225
2_6_105_51297,1955-08,293.70514,0.015380859
2_6_105_51297,1955-09,288.9547,3.6344545
2_6_105_51297,1955-10,283.2584,33.76586
2_6_105_51297,1955-11,275.25537,264.47394
2_6_105_51297,1955-12,272.5675,781.1908
2_6_105_51297,1956-01,272.24707,691.10095
2_6_105_51297,1956-02,272.02847,271.61084
2_6_105_51297,1956-03,275.11465,25.793869
2_6_105_51297,1956-04,279.67465,65.96291
2_6_105_51297,1956-05,283.69257,85.14697
2_6_105_51297,1956-06,288.35855,3.6997986
2_6_105_51297,1956-07,294.1684,8.324673
2_6_105_51297,1956-08,291.27036,0.17967987
2_6_105_51297,1956-09,288.09732,18.481598
2_6_105_51297,1956-10,280.28662,127.381165
2_6_105_51297,1956-11,279.275,12.360364
2_6_105_51297,1956-12,276.76315,48.67457
2_6_105_51297,1957-01,269.66248,204.71004
2_6_105_51297,1957-02,275.14954,431.0622
2_6_105_51297,1957-03,275.1176,307.84622
2_6_105_51297,1957-04,278.61496,147.4837
2_6_105_51297,1957-05,283.31848,160.65561
2_6_105_51297,1957-06,290.55902,0.8762169
2_6_105_51297,1957-07,291.48605,0.20222092
2_6_105_51297,1957-08,289.69073,7.993885
2_6_105_51297,1957-09,289.3652,128.8788
2_6_105_51297,1957-10,280.0756,295.75485
2_6_105_51297,1957-11,276.19205,91.491104
2_6_105_51297,1957-12,275.255,272.89636
2_6_105_51297,1958-01,274.27164,495.78903
2_6_105_51297,1958-02,274.66742,830.4238
2_6_105_51297,1958-03,272.68027,284.78787
2_6_105_51297,1958-04,278.02505,190.38892
2_6_105_51297,1958-05,285.75925,43.93763
2_6_105_51297,1958-06,287.70248,63.56968
2_6_105_51297,1958-07,294.19293,27.774307
2_6_105_51297,1958-08,294.3309,9.92627
2_6_105_51297,1958-09,288.39783,1.4809
2_6_105_51297,1958-10,284.95993,26.360666
2_6_105_51297,1958-11,277.46133,76.159164
2_6_105_51297,1958-12,278.24133,110.01339
2_6_105_51297,1959-01,273.71432,736.18036
2_6_105_51297,1959-02,272.72498,526.6312
2_6_105_51297,1959-03,276.21866,62.92849
2_6_105_51297,1959-04,280.2947,14.788553
2_6_105_51297,1959-05,281.24063,22.176155
2_6_105_51297,1959-06,289.08395,2.447092
2_6_105_51297,1959-07,294.23682,0.23132324
2_6_105_51297,1959-08,291.71622,18.468706
2_6_105_51297,1959-09,284.86752,126.99875
2_6_105_51297,1959-10,284.5743,11.542786
2_6_105_51297,1959-11,281.01282,1.6970215
2_6_105_51297,1959-12,275.89755,90.854935
2_6_105_51297,1960-01,271.62408,342.39645
2_6_105_51297,1960-02,273.17093,434.5526
2_6_105_51297,1960-03,276.2345,286.9155
2_6_105_51297,1960-04,277.62503,75.87398
2_6_105_51297,1960-05,280.87,143.88263
2_6_105_51297,1960-06,292.01126,0.7268677
2_6_105_51297,1960-07,294.9607,5.163084
2_6_105_51297,1960-08,291.29532,3.3553352
2_6_105_51297,1960-09,289.7355,0.28845057
2_6_105_51297,1960-10,282.572,43.79244
2_6_105_51297,1960-11,274.82166,386.17883
2_6_105_51297,1960-12,274.8884,242.8003
2_6_105_51297,1961-01,276.0298,280.59253
2_6_105_51297,1961-02,274.5334,343.11807
2_6_105_51297,1961-03,273.69275,306.57935
2_6_105_51297,1961-04,278.72076,64.88591
2_6_105_51297,1961-05,281.38074,67.97305
2_6_105_51297,1961-06,291.6665,15.140282
2_6_105_51297,1961-07,293.79932,7.844061
2_6_105_51297,1961-08,292.8821,23.635971
2_6_105_51297,1961-09,286.51578,11.992135
2_6_105_51297,1961-10,282.46857,32.031555
2_6_105_51297,1961-11,276.20462,260.12973
2_6_105_51297,1961-12,273.43002,130.26437
2_6_105_51297,1962-01,274.43808,63.48633
2_6_105_51297,1962-02,272.837,447.50928
2_6_105_51297,1962-03,273.54797,217.88123
2_6_105_51297,1962-04,281.26974,24.646118
2_6_105_51297,1962-05,281.4387,33.809433
2_6_105_51297,1962-06,289.34943,1.3203812
2_6_105_51297,1962-07,293.4185,0.66967773
2_6_105_51297,1962-08,290.65967,80.98623
2_6_105_51297,1962-09,289.6548,32.28074
2_6_105_51297,1962-10,283.3834,378.03845
2_6_105_51297,1962-11,278.04385,197.16037
2_6_105_51297,1962-12,277.24228,218.33105
2_6_105_51297,1963-01,274.98383,151.95355
2_6_105_51297,1963-02,278.84122,310.16547
2_6_105_51297,1963-03,274.11826,259.19324
2_6_105_51297,1963-04,274.0887,342.25745
2_6_105_51297,1963-05,283.67453,121.65015
2_6_105_51297,1963-06,287.36368,8.170105
2_6_105_51297,1963-07,290.39185,1.2151489
2_6_105_51297,1963-08,291.25153,4.884453
2_6_105_51297,1963-09,289.1832,9.034288
2_6_105_51297,1963-10,282.57065,194.65982
2_6_105_51297,1963-11,275.93512,302.306
2_6_105_51297,1963-12,276.86438,38.205505
2_6_105_51297,1964-01,272.85422,289.75775
2_6_105_51297,1964-02,275.22592,9.394348
2_6_105_51297,1964-03,274.0892,118.06591
2_6_105_51297,1964-04,278.61273,8.329672
2_6_105_51297,1964-05,281.59546,13.080349
2_6_105_51297,1964-06,286.88763,36.95678
2_6_105_51297,1964-07,292.75204,3.847332
2_6_105_51297,1964-08,291.6674,4.84404
2_6_105_51297,1964-09,287.7495,7.2416215
2_6_105_51297,1964-10,285.4724,95.0268
2_6_105_51297,1964-11,274.3371,267.815
2_6_105_51297,1964-12,272.67285,664.8454
2_6_105_51297,1965-01,274.3576,375.76505
2_6_105_51297,1965-02,275.29437,46.837105
2_6_105_51297,1965-03,277.03918,3.461505
2_6_105_51297,1965-04,277.74838,277.797
2_6_105_51297,1965-05,282.75867,11.451061
2_6_105_51297,1965-06,289.04938,8.585766
2_6_105_51297,1965-07,292.63803,3.398386
2_6_105_51297,1965-08,290.79025,20.249634
2_6_105_51297,1965-09,286.90524,1.0014029
2_6_105_51297,1965-10,286.2689,13.875265
2_6_105_51297,1965-11,276.49237,594.0962
2_6_105_51297,1965-12,271.7705,348.19757
2_6_105_51297,1966-01,272.43695,433.11417
2_6_105_51297,1966-02,272.05203,265.81836
2_6_105_51297,1966-03,275.48773,276.66382
2_6_105_51297,1966-04,281.1242,25.226624
2_6_105_51297,1966-05,285.6183,7.025322
2_6_105_51297,1966-06,287.50974,5.037842
2_6_105_51297,1966-07,290.74008,6.814789
2_6_105_51297,1966-08,293.15802,2.6008987
2_6_105_51297,1966-09,287.8341,35.26471
2_6_105_51297,1966-10,284.20868,2.8081264
2_6_105_51297,1966-11,277.1295,503.22296
2_6_105_51297,1966-12,273.96198,489.49164
2_6_105_51297,1967-01,273.79327,514.59863
