"YEAR","pltID","PLT_CN","TPA","BAA","PROP_FOREST","SDI","ID","LON","LAT","Elevation_m","Date","ppt_mm","tmean_degC","Ownership","PSME_check","Include","NMDS1"
2012,"2_6_35_56575",30761919020004,303.379278,141.605130152683,1,231.837472695523,5,-120.8023,40.9341,1765,"Annual",388.23,7.2,"Not private","Not_psme","Yes",-0.146881806801897
2012,"2_6_35_78825",30761929020004,1965.85376,277.305596817785,1,509.340804475308,8,-121.1061,40.5712,1914,"Annual",574.51,6.3,"Not private","Not_psme","Yes",-0.669524538694824
2012,"2_6_49_73812",30762365020004,506.201316,94.5974133261986,1,178.055963849029,13,-121.0423,41.287,1617,"Annual",516.26,8.7,"Not private","Not_psme","Yes",0.501391932723428
2012,"2_6_49_76419",30762362020004,387.383088,104.260760663985,1,193.835908661625,15,-121.0493,41.4258,1441,"Annual",483.16,9,"Not private","Not_psme","Yes",-0.193844752264876
2012,"2_6_49_94164",30762371020004,73.21574,35.6296169871695,1,64.1968770466985,17,-121.3704,41.4338,1355,"Annual",576.81,9.2,"Not private","Not_psme","Yes",0.819627893849095
2012,"3_6_7_89092",30764040020004,84.115136,274.612849678374,1,326.667658577576,40,-121.3218,39.7626,896,"Annual",1801.66,14.2,"Not private","Not_psme","Yes",0.358511642904508
2012,"3_6_91_85651",30762882020004,521.25789,74.9088885640889,1,165.482235644611,42,-120.908,39.5054,1380,"Annual",1584.06,11.9,"Not private","Not_psme","Yes",0.586180269723418
2012,"5_6_107_52187",30762352020004,53.11739,128.909282531543,1,154.36992880338,43,-118.382,35.893,2545,"Annual",847.81,6.9,"Not private","Not_psme","Yes",-0.461438593906001
2012,"5_6_107_53345",30762350020004,69.127316,180.241815012373,1,232.436425472991,44,-118.3985,36.0613,2451,"Annual",982.62,7.1,"Not private","Not_psme","Yes",-0.590978380578386
2012,"5_6_107_55147",30762354020004,404.663954,210.168988042241,1,337.481753324456,45,-118.7171,36.2057,1512,"Annual",818.89,12.3,"Not private","Not_psme","Yes",0.952137913215547
