cell_y_index,cell_x_index,point_names
132,76,"2_6_105_51297, 2_6_105_92264"
131,79,"2_6_105_63593, 2_6_89_71970"
134,75,2_6_105_92775
132,78,"2_6_105_96869, 2_6_105_61334"
120,89,2_6_35_56575
115,86,2_6_35_58697
117,87,2_6_35_71400
118,84,"2_6_35_78825, 2_6_35_73060"
122,87,2_6_35_80121
115,87,2_6_35_86030
115,83,2_6_35_92980
115,84,2_6_35_98013
125,90,2_6_49_73812
126,87,2_6_49_74246
126,91,"2_6_49_76419, 2_6_49_91897"
125,88,"2_6_49_79515, 2_6_49_96302"
128,89,2_6_49_94164
126,81,2_6_89_75406
121,81,2_6_89_81219
128,82,"2_6_89_83191, 2_6_89_84932, 2_6_89_72576, 2_6_89_55696"
121,80,"2_6_89_83866, 2_6_89_64273"
130,81,"2_6_89_87520, 2_6_93_61164, 2_6_89_75886"
130,85,"2_6_93_59756, 2_6_93_58201"
118,79,"3_6_103_65991, 3_6_103_88200"
95,79,"3_6_17_67622, 5_6_5_61543"
99,79,"3_6_17_80501, 3_6_17_73786, 3_6_17_66804"
98,77,"3_6_17_91277, 3_6_17_50288"
97,78,3_6_17_91643
103,77,3_6_61_53993
100,78,3_6_61_59106
102,78,3_6_61_84677
100,77,"3_6_61_86237, 3_6_61_58134"
114,80,"3_6_63_50218, 3_6_63_60183"
109,82,3_6_63_54163
110,79,3_6_63_66545
113,82,"3_6_63_66988, 3_6_63_57519, 3_6_63_84416"
108,83,3_6_63_73981
112,81,"3_6_63_79087, 3_6_63_65133, 3_6_63_78794"
110,81,"3_6_63_98023, 3_6_63_52651"
112,77,"3_6_7_89092, 3_6_7_95807"
107,83,3_6_91_70607
107,78,"3_6_91_85651, 3_6_91_95042"
58,73,"5_6_107_52187, 5_6_107_90023"
59,74,"5_6_107_53345, 5_6_107_96399, 5_6_107_99277"
63,72,5_6_107_55147
62,73,5_6_107_68934
64,73,5_6_107_70996
68,74,5_6_107_75302
58,74,"5_6_107_91832, 5_6_107_92408"
61,74,5_6_107_95459
85,76,"5_6_109_82997, 5_6_109_51824, 5_6_109_78971"
87,74,"5_6_109_95908, 5_6_109_53951"
72,76,5_6_19_50651
79,77,5_6_39_64363
77,74,"5_6_39_84285, 5_6_39_67260"
90,79,5_6_3_67431
93,79,"5_6_3_98052, 5_6_3_58235"
82,72,5_6_43_66480
94,76,"5_6_5_55365, 5_6_5_54566"
92,75,"5_6_9_76472, 5_6_109_85336, 5_6_9_65997"
134,76,"2_6_105_73516, 2_6_105_76623"
132,75,"2_6_105_92899, 2_6_105_64952, 2_6_105_76449"
127,88,2_6_49_75095
126,90,2_6_49_80178
121,83,"2_6_89_55136, 2_6_89_91137"
119,82,"2_6_89_69149, 2_6_35_52154"
123,81,2_6_89_91772
130,87,"2_6_93_86196, 2_6_93_63920, 2_6_93_52619"
132,80,"2_6_93_94605, 2_6_93_53473, 2_6_93_95092"
