"LAT","LON","pltID"
41.102547,-122.745649,"2_6_105_51297"
41.12868,-122.458358,"2_6_105_63593"
41.128058,-122.934822,"2_6_105_92775"
41.144646,-122.605848,"2_6_105_96869"
40.934131,-120.802314,"2_6_35_56575"
40.427312,-120.754488,"2_6_35_58697"
40.588651,-120.80156,"2_6_35_71400"
40.571201,-121.10608,"2_6_35_78825"
40.937276,-121.063063,"2_6_35_80121"
40.489187,-120.620746,"2_6_35_86030"
40.257312,-121.054791,"2_6_35_92980"
40.315573,-120.91077,"2_6_35_98013"
41.287018,-121.042255,"2_6_49_73812"
41.261444,-121.361607,"2_6_49_74246"
41.425846,-121.049301,"2_6_49_76419"
41.189273,-121.273227,"2_6_49_79515"
41.433788,-121.370373,"2_6_49_94164"
40.894757,-121.92728,"2_6_89_75406"
40.597357,-121.596255,"2_6_89_81219"
41.04581,-121.971018,"2_6_89_83191"
40.523504,-121.716253,"2_6_89_83866"
41.158579,-122.144701,"2_6_89_87520"
41.344798,-121.823227,"2_6_93_59756"
40.253098,-121.540619,"3_6_103_65991"
38.74719,-120.12161,"3_6_17_67622"
38.998528,-120.303836,"3_6_17_80501"
38.87514,-120.45249,"3_6_17_91277"
38.852045,-120.298079,"3_6_17_91643"
39.165624,-120.759694,"3_6_61_53993"
39.040215,-120.462764,"3_6_61_59106"
39.151446,-120.596167,"3_6_61_84677"
38.997989,-120.603887,"3_6_61_86237"
40.109221,-121.208026,"3_6_63_50218"
39.789254,-120.708482,"3_6_63_54163"
39.771652,-121.021477,"3_6_63_66545"
40.095523,-121.022786,"3_6_63_66988"
39.846566,-120.526336,"3_6_63_73981"
39.949067,-121.011865,"3_6_63_79087"
39.847303,-120.849925,"3_6_63_98023"
39.762606,-121.321775,"3_6_7_89092"
39.695591,-120.520099,"3_6_91_70607"
39.505426,-120.907958,"3_6_91_85651"
35.892963,-118.382018,"5_6_107_52187"
36.061261,-118.398471,"5_6_107_53345"
36.205745,-118.717142,"5_6_107_55147"
36.162975,-118.596014,"5_6_107_68934"
36.352828,-118.717615,"5_6_107_70996"
36.654328,-118.906088,"5_6_107_75302"
36.018978,-118.290745,"5_6_107_91832"
36.207506,-118.414401,"5_6_107_95459"
37.908783,-119.741855,"5_6_109_82997"
37.929555,-120.029975,"5_6_109_95908"
36.991386,-118.914802,"5_6_19_50651"
37.604529,-119.255779,"5_6_39_64363"
37.305668,-119.398403,"5_6_39_84285"
38.426522,-119.798326,"5_6_3_67431"
38.551649,-119.966954,"5_6_3_98052"
37.558533,-119.860841,"5_6_43_66480"
38.528911,-120.238971,"5_6_5_55365"
38.364326,-120.251524,"5_6_9_76472"
41.16438,-122.88844,"2_6_105_73516"
41.051565,-122.74368,"2_6_105_92264"
40.990374,-122.861379,"2_6_105_92899"
41.301117,-121.349936,"2_6_49_75095"
41.353895,-121.161272,"2_6_49_80178"
40.694328,-121.395278,"2_6_89_55136"
40.498511,-121.39073,"2_6_89_69149"
41.09392,-121.904302,"2_6_89_84932"
40.662928,-121.71932,"2_6_89_91772"
41.43672,-121.638927,"2_6_93_86196"
41.23972,-122.424288,"2_6_93_94605"
41.326532,-121.463492,"2_6_93_97968"
41.304995,-121.803254,"2_6_93_99432"
40.04965,-121.681578,"3_6_103_58576"
40.158591,-121.465994,"3_6_103_66280"
40.317638,-121.501157,"3_6_103_95249"
38.612335,-120.564384,"3_6_17_54258"
38.605369,-120.371609,"3_6_17_60444"
38.758041,-120.42877,"3_6_17_97297"
39.42928,-120.604501,"3_6_57_64922"
39.395112,-120.9357,"3_6_57_99642"
38.949806,-120.563974,"3_6_61_58134"
39.046414,-120.739605,"3_6_61_69600"
40.050727,-121.015172,"3_6_63_58788"
39.936093,-120.379175,"3_6_63_68620"
40.198017,-121.335672,"3_6_63_73947"
40.004669,-121.146625,"3_6_63_79234"
40.087127,-120.700292,"3_6_63_92614"
40.192747,-120.568264,"3_6_63_93409"
39.632487,-120.616612,"3_6_91_62246"
36.557515,-118.720596,"5_6_107_57896"
36.153715,-118.532947,"5_6_107_60974"
36.30614,-118.529905,"5_6_107_64398"
35.810865,-118.219292,"5_6_107_68190"
36.25032,-118.679497,"5_6_107_85606"
36.405456,-118.703201,"5_6_107_86537"
35.918634,-118.39608,"5_6_107_90023"
37.97404,-120.024003,"5_6_109_53951"
37.814098,-120.156366,"5_6_109_54060"
38.34799,-119.879767,"5_6_109_62518"
38.309841,-120.204961,"5_6_109_85336"
37.809604,-119.989922,"5_6_109_89546"
37.856448,-119.872911,"5_6_109_98713"
37.082351,-119.223445,"5_6_19_72118"
37.047479,-119.042013,"5_6_19_96929"
37.37038,-119.540933,"5_6_39_57309"
37.688861,-119.098366,"5_6_39_91930"
38.492572,-119.895749,"5_6_3_62317"
38.640437,-119.766545,"5_6_3_69589"
38.688036,-119.64754,"5_6_3_82766"
38.589741,-119.70063,"5_6_3_89745"
37.495403,-119.671569,"5_6_43_93434"
38.480499,-120.240408,"5_6_9_54216"
41.153933,-122.558382,"2_6_105_61334"
40.798272,-122.812964,"2_6_105_78587"
41.091467,-122.687157,"2_6_105_97440"
41.111167,-121.251039,"2_6_35_64409"
40.76742,-121.2212,"2_6_35_78858"
40.443441,-121.008355,"2_6_35_94048"
41.272748,-120.975955,"2_6_49_67806"
40.889871,-121.39208,"2_6_89_60453"
40.523958,-121.660287,"2_6_89_64273"
40.999877,-121.715988,"2_6_89_68109"
40.559204,-121.372917,"2_6_89_81343"
41.091081,-122.287851,"2_6_89_85151"
41.378681,-121.936727,"2_6_93_52095"
41.294595,-122.420688,"2_6_93_53473"
41.297256,-122.089405,"2_6_93_61642"
41.346667,-121.765234,"2_6_93_69453"
41.564246,-121.636061,"2_6_93_74242"
41.192901,-121.747236,"2_6_93_82828"
41.500351,-121.792524,"2_6_93_91215"
41.529729,-121.505475,"2_6_93_95170"
40.252828,-121.46542,"3_6_103_57968"
39.491468,-121.065042,"3_6_115_51465"
38.855275,-120.695826,"3_6_17_61501"
38.692684,-120.370471,"3_6_17_73744"
38.832193,-120.523011,"3_6_17_77991"
38.661408,-120.496793,"3_6_17_84159"
38.553151,-120.382223,"3_6_17_97782"
39.129562,-120.881875,"3_6_61_63946"
40.154692,-121.147551,"3_6_63_56274"
39.78193,-120.935521,"3_6_63_61281"
39.989134,-120.824542,"3_6_63_62514"
40.243174,-120.597963,"3_6_63_68365"
40.123615,-120.670288,"3_6_63_72624"
39.906073,-121.281195,"3_6_63_90837"
40.398815,-121.328156,"3_6_63_95551"
39.761058,-121.407603,"3_6_7_97350"
40.05395,-121.580423,"3_6_7_99822"
39.500177,-120.77704,"3_6_91_91513"
39.69338,-120.439437,"3_6_91_98691"
36.543801,-118.404053,"5_6_107_73557"
36.704334,-118.631801,"5_6_107_91538"
36.704931,-118.690788,"5_6_107_94775"
36.058987,-118.343685,"5_6_107_96399"
38.41153,-120.024253,"5_6_109_73820"
38.201408,-120.139683,"5_6_109_74692"
37.967927,-119.7385,"5_6_109_87824"
38.25652,-120.016447,"5_6_109_97983"
36.794307,-118.853624,"5_6_19_62985"
37.163806,-119.331216,"5_6_19_77546"
37.409971,-119.213698,"5_6_19_92835"
35.708257,-118.552169,"5_6_29_65496"
37.593372,-119.193211,"5_6_39_91052"
38.554508,-119.894679,"5_6_3_65481"
37.459821,-119.657109,"5_6_43_54585"
37.628226,-119.682691,"5_6_43_78845"
38.509993,-120.474116,"5_6_5_78549"
38.387314,-120.339486,"5_6_9_67709"
40.898655,-122.624755,"2_6_105_76437"
41.361474,-122.555868,"2_6_105_94754"
40.941598,-122.671746,"2_6_105_96639"
40.339566,-120.820642,"2_6_35_63948"
40.540402,-120.997632,"2_6_35_73299"
41.027063,-121.077526,"2_6_35_96414"
41.48893,-121.428634,"2_6_49_53662"
41.902703,-120.231252,"2_6_49_65134"
41.537158,-120.321899,"2_6_49_77038"
41.320847,-120.996629,"2_6_49_97560"
40.95367,-122.031921,"2_6_89_52614"
41.152799,-121.69692,"2_6_89_58146"
40.896577,-122.157359,"2_6_89_68386"
40.634662,-121.49955,"2_6_89_68434"
40.954568,-121.842923,"2_6_89_91300"
40.837362,-121.38175,"2_6_89_93267"
40.643506,-121.64587,"2_6_89_97816"
41.245506,-122.350408,"2_6_93_95092"
38.887441,-120.716459,"3_6_17_85490"
38.902993,-120.357845,"3_6_17_95791"
38.935253,-120.832929,"3_6_17_98576"
39.407646,-120.723236,"3_6_57_87496"
