"YEAR","pltID","PLT_CN","TPA","BAA","PROP_FOREST","SDI","ID","LON","LAT","Elevation_m","Date","ppt_mm","tmean_degC","Ownership","PSME_check","Include","NMDS1"
2013,"2_6_105_92899",44541047020004,20.006678,102.660165683636,1,111.463677593996,63,-122.8614,40.9904,1910,"Annual",2487.59,7.4,"Not private","Not_psme","Yes",0.463830957933367
2012,"2_6_35_78825",30761929020004,1965.85376,277.305596817785,1,509.340804475308,8,-121.1061,40.5712,1914,"Annual",574.51,6.3,"Not private","Not_psme","Yes",-0.669524538694824
2012,"5_6_109_95908",30763340020004,97.287924,45.2799583935703,1,81.1180249023781,52,-120.03,37.9296,1213,"Annual",1042.68,13.4,"Not private","Not_psme","Yes",0.11391812420506
2016,"3_6_7_95807",345935510489998,572.579902,386.869704094288,1,547.416280727916,267,-121.35,39.7972,1279,"Annual",2193.99,11.9,"Not private","Not_psme","Yes",0.428422010779048
2020,"2_6_35_72567",645307951126144,512.969716,84.8032222549666,1,159.122037304931,481,-121.0592,40.788,1677,"Annual",501.68,8.2,"Not private","Not_psme","Yes",0.625921284907788
2017,"3_6_61_95963",412221224489998,135.145742,34.000641124429,1,61.4631826950341,323,-120.2958,39.0932,2167,"Annual",1853.49,6.7,"Not private","Not_psme","Yes",-1.00465106738635
2015,"5_6_43_82595",273641207489998,427.465198,284.494213185346,1,389.460480467987,226,-119.6091,37.5205,1628,"Annual",1076.76,11,"Not private","Not_psme","Yes",-0.298391968709371
2018,"3_6_103_72948",484816562489998,244.355168,394.514471974754,1,484.808661966265,373,-121.5199,40.4071,2036,"Annual",1884.32,6.8,"Not private","Not_psme","Yes",0.306334183456046
2014,"3_6_17_73744",216960111020004,86.228102,129.178773545092,1,183.918224944232,137,-120.3705,38.6927,1689,"Annual",1571.39,10.6,"Not private","Not_psme","Yes",0.581493742891089
2020,"2_6_89_82323",645307919126144,155.106584,212.064258462099,1,269.621458008706,487,-121.3234,40.5925,2126,"Annual",1300.76,6.4,"Not private","Not_psme","Yes",-0.540240498455564
2012,"3_6_7_89092",30764040020004,84.115136,274.612849678374,1,326.667658577576,40,-121.3218,39.7626,896,"Annual",1801.66,14.2,"Not private","Not_psme","Yes",0.358511642904508
2018,"5_6_29_72550",484816964489998,48.12145,48.400161704725,1,73.9319784103179,405,-118.3361,35.5153,2133,"Annual",427.6,9.2,"Not private","Not_psme","Yes",-0.240860925389056
2012,"5_6_107_55147",30762354020004,404.663954,210.168988042241,1,337.481753324456,45,-118.7171,36.2057,1512,"Annual",818.89,12.3,"Not private","Not_psme","Yes",0.952137913215547
2020,"3_6_63_92541",645307781126144,85.205996,148.138122604174,1,197.92390707255,497,-121.213,39.8039,1584,"Annual",2275.28,10.6,"Not private","Not_psme","Yes",-0.538819316437374
2015,"3_6_91_78931",273640390489998,848.391764,349.291092683435,1,538.573059428478,210,-120.5977,39.596,1894,"Annual",1828.25,7.9,"Not private","Not_psme","Yes",-0.535424404492659
2017,"5_6_107_84235",412221281489998,75.191198,117.144383868852,1,165.393242829653,337,-118.7254,36.6089,2728,"Annual",1953.53,4.8,"Not private","Not_psme","Yes",-0.313651951413699
2016,"3_6_63_67253",345936572489998,540.514214,334.685463351094,1,493.315240951898,259,-121.0426,39.6474,1443,"Annual",2160.63,11,"Not private","Not_psme","Yes",-0.663730399859713
2022,"5_6_109_75599",750084044290487,166.23516,46.0396786905245,1,86.126934076862,570,-120.261,38.1589,1096,"Annual",1097.13,13.8,"Not private","Not_psme","Yes",1.21713647172286
